,,5 repeats / 19 voters,,13 repeats / 31 voters,,15 repeats / 26 voters,
,,,,,,,
,,,,,,,
2019,,2020,,2021,,2022,
Andrew Sharp,,Amin Elhassan,,Bill Reiter,,Anthony Chiang,@Anthony_Chiang
Brian Mahoney,,Andy Larsen,,Bill Simmons,,Bill Reiter,@sportsreiter
Brian Windhorst,,Antoni Daimiel,,Cassidy Hubbarth,,Bill Simmons,@BillSimmons
Chris Mannix,,Bill Simmons,,Chris Broussard,,Brian Windhorst,@WindhorstESPN
Doug Smith,,Brad Townsend,,Chris Fedor,,Chris Broussard,@Chris_Broussard
Jalen Rose,,Brian Windhorst,,Chris Haynes,,Chris Fedor,
John Schuhmann,,Chris Fedor,,Chris Kirschner,,Chris Herring,@Herring_NBA
Kevin Arnovitz,,Chris Kirschner,,Dan Devine,,Chris Kirschner,@ChrisKirschner
Kurt Helin,,Chris Mannix,,Doug Smith,,Chris Mannix,@SIChrisMannix
Michelle Beadle,,Dan Devine,,Howard Beck,,Dan Devine,@YourManDevine
Mike Singer,,Dave McMenamin,,Jackie MacMullan,,David Aldridge,@davidaldridgedc
Paul Flannery,,Davide Chinellato,,James Owczarski,,Davide Chinellato,@dchinellato
Ric Bucher,,Frank Isola,,Jeff Zillgitt,,Doris Burke,@heydb
Rob Mahoney,,Greg Logan,,Joe Vardon,,Doug Smith,@SmithRaps
Sean Deveney,,Howard Beck,,Justin Termine,,Eric Koreen,@ekoreen
Sekou Smith,,Jackie MacMullan,,Kelly Iko,,Eric Nehm,@eric_nehm
Stefan Bondy,,Jason Anderson,,Kevin O'Connor,,Eric Walden,@tribjazz
Tim Reynolds,,Jeff Zillgitt,,Kurt Helin,,Frank Isola,@TheFrankIsola
Zach Lowe,,Justin Termine,,Olgun Uluc,,Gary Washburn,@GwashburnGlobe
,,Kevin Arnovitz,,Omari Sankofa II,,Harris Stavrou,@harris_stavrou
,,Kevin O'Connor,,Rob Mahoney,,Howard Beck,@HowardBeck
,,Kevin Pelton,,Tim Reynolds,,Jalen Rose,@JalenRose
,,Kurt Helin,,Tony Jones,,James Edwards III,@JLEdwardsIII
,,Rachel Nichols,,Vince Goodwill,,Joe Vardon,@joevardon
,,Renjun Bao,,Zach Harper,,Josh Robbins,@JoshuaBRobbins
,,Rod Beard,,Zach Lowe,,Justin Termine,@TermineRadio
,,Royce Young,,,,K.C. Johnson,@KCJHoop
,,Sam Amick,,,,Kelly Iko,
,,Vince Goodwill,,,,Kendrick Perkins,@KendrickPerkins
,,Zach Harper,,,,Kevin O'Connor,@KevinOConnorNBA
,,Zach Lowe,,,,Kurt Helin,@basketballtalk
,,,,,,Lisa Hsu,
,,,,,,Michael Grange,
,,,,,,Michael Pina,@MichaelVPina
,,,,,,Michael Wilbon,
,,,,,,Mike Greenberg,@Espngreeny
,,,,,,Mike Singer,@msinger
,,,,,,Renjun Bao,
,,,,,,Ryen Russillo,
,,,,,,Sam Amick,@sam_amick
,,,,,,Stephen A. Smith,@stephenasmith
,,,,,,Steve Aschburner,@AschNBA
,,,,,,Taylor Rooks,@TaylorRooks
,,,,,,Tim Bontemps,@TimBontemps
,,,,,,Zach Harper,@talkhoops
,,,,,,Zach Lowe,@ZachLowe_NBA